,matches,B,T
0,"('2017 1 9', '2017 1 15')",0.35714285714285715,5.094285714285715
1,"('2018 11 26', '2018 12 2')",2.994285714285714,9.805714285714288
2,"('2018 12 10', '2018 12 16')",1.828571428571429,6.492857142857143
3,"('2018 12 17', '2018 12 23')",2.711428571428571,10.738571428571428
4,"('2018 12 24', '2018 12 30')",2.877142857142857,9.29142857142857
5,"('2019 2 11', '2019 2 17')",2.9057142857142857,11.674285714285714
6,"('2019 12 9', '2019 12 15')",0.8671428571428572,4.047142857142857
7,"('2019 12 23', '2019 12 29')",1.9714285714285715,8.63142857142857
8,"('2020 4 6', '2020 4 12')",0.48999999999999994,0.6014285714285714
9,"('2020 5 11', '2020 5 17')",0.19714285714285712,0.7442857142857141
10,"('2020 7 6', '2020 7 12')",0.13142857142857142,0.5914285714285715
11,"('2021 12 20', '2021 12 26')",2.1542857142857144,7.097142857142857
12,"('2022 7 4', '2022 7 10')",1.4985714285714287,2.948571428571429
